observation_date,FDHBFIN,FDHBFIN_CCA,FDHBFIN_CCH,FDHBFIN_CH1,FDHBFIN_CHG,FDHBFIN_LOG,FDHBFIN_PC1,FDHBFIN_PCA,FDHBFIN_PCH,FDHBFRBN,FDHBFRBN_CCA,FDHBFRBN_CCH,FDHBFRBN_CH1,FDHBFRBN_CHG,FDHBFRBN_LOG,FDHBFRBN_PC1,FDHBFRBN_PCA,FDHBFRBN_PCH,FDHBPIN,FDHBPIN_CCA,FDHBPIN_CCH,FDHBPIN_CH1,FDHBPIN_CHG,FDHBPIN_LOG,FDHBPIN_PC1,FDHBPIN_PCA,FDHBPIN_PCH,FYGFDPUN,FYGFDPUN_CCA,FYGFDPUN_CCH,FYGFDPUN_CH1,FYGFDPUN_CHG,FYGFDPUN_LOG,FYGFDPUN_PC1,FYGFDPUN_PCA,FYGFDPUN_PCH
2006-07-01,2025.3,9.49309,2.37327,95.3,47.5,7.61347,4.93782,9.95829,2.40166,768.900,1.30268,0.32567,32.500,2.500,6.64496,4.41336,1.31120,0.32620,4074.2,4.28382,1.07095,209.2,43.4,8.31243,5.41268,4.37690,1.07671,4843208,3.79711,0.94928,241830,45758,15.39309,5.25560,3.87013,0.95380
2006-10-01,2103.1,15.07784,3.76946,69.1,77.8,7.65117,3.39725,16.27390,3.84141,778.900,5.16870,1.29217,34.700,10.000,6.65788,4.66273,5.30461,1.30056,4122.1,4.67533,1.16883,151.1,47.9,8.32412,3.80509,4.78635,1.17569,4901208,4.76176,1.19044,186601,58000,15.40499,3.95793,4.87695,1.19755
2007-01-01,2194.8,17.07139,4.26785,112.7,91.7,7.69385,5.41280,18.61514,4.36023,780.900,1.02577,0.25644,22.400,2.000,6.66045,2.95320,1.03105,0.25677,4273.1,14.39073,3.59768,159.1,151.0,8.36009,3.86728,15.47770,3.66318,5054278,12.30132,3.07533,181474,153070,15.43575,3.72422,13.08994,3.12311
2007-04-01,2192.0,-0.51062,-0.12766,214.2,-2.8,7.69257,10.83022,-0.50932,-0.12757,790.500,4.88742,1.22186,24.100,9.600,6.67267,3.14457,5.00883,1.22935,4152.6,-11.44197,-2.86049,121.8,-120.5,8.33149,3.02173,-10.81164,-2.81997,4943033,-8.90236,-2.22559,145583,-111245,15.41349,3.03459,-8.51760,-2.20101
2007-07-01,2235.3,7.82443,1.95611,210.0,43.3,7.71213,10.36883,8.13868,1.97536,779.600,-5.55388,-1.38847,10.700,-10.900,6.65878,1.39160,-5.40246,-1.37887,4269.7,11.12357,2.78089,195.5,117.1,8.35930,4.79849,11.76583,2.81992,5049242,8.50361,2.12590,206034,106209,15.43475,4.25408,8.87564,2.14866
2007-10-01,2353.2,20.56026,5.14007,250.1,117.9,7.76353,11.89197,22.82650,5.27446,740.600,-20.52812,-5.13203,-38.300,-39.000,6.60746,-4.91719,-18.55817,-5.00257,4395.7,11.63329,2.90832,273.6,126.0,8.38838,6.63739,12.33698,2.95103,5136288,6.83700,1.70925,235080,87046,15.45184,4.79637,7.07614,1.72394
2008-01-01,2506.3,25.21258,6.30315,311.5,153.1,7.82656,14.19264,28.67579,6.50603,591.200,-90.12252,-22.53063,-189.700,-149.400,6.38215,-24.29248,-59.39282,-20.17283,4742.9,30.40879,7.60220,469.8,347.2,8.46440,10.99436,35.53882,7.89863,5334048,15.11191,3.77798,279770,197760,15.48962,5.53531,16.31352,3.85025
2008-04-01,2587.4,12.73838,3.18459,395.4,81.1,7.85841,18.03832,13.58529,3.23585,478.800,-84.34856,-21.08714,-311.700,-112.400,6.17128,-39.43074,-56.97916,-19.01218,4806.2,5.30320,1.32580,653.6,63.3,8.47766,15.73954,5.44633,1.33463,5285025,-3.69323,-0.92331,341992,-49023,15.48039,6.91867,-3.62586,-0.91906
2008-07-01,2802.4,31.92907,7.98227,567.1,215.0,7.93823,25.37020,37.61514,8.30950,476.600,-1.84216,-0.46054,-303.000,-2.200,6.16668,-38.86609,-1.82530,-0.45948,5332.0,41.52786,10.38197,1062.3,525.8,8.58148,24.87997,51.47927,10.94004,5814240,38.17309,9.54327,764998,529215,15.57582,15.15075,46.48179,10.01348
2008-10-01,3077.2,37.41756,9.35439,724.0,274.8,8.03178,30.76662,45.37924,9.80588,475.900,-0.58793,-0.14698,-264.700,-0.700,6.16521,-35.74129,-0.58620,-0.14687,5893.4,40.04267,10.01067,1497.7,561.4,8.68159,34.07193,49.24614,10.52888,6372651,36.68219,9.17055,1236363,558411,15.66753,24.07114,44.31409,9.60420
