"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2014","18.41","14.32","18.99","11.81","","34.18%"
"12/01/2013","13.72","13.91","16.75","11.69","","0.15%"
"11/01/2013","13.70","13.46","14.14","11.99","","-0.36%"
"10/01/2013","13.75","16.31","21.34","12.34","","-17.17%"
"09/01/2013","16.60","16.47","17.49","12.52","","-2.41%"
"08/01/2013","17.01","12.89","17.81","11.83","","26.47%"
"07/01/2013","13.45","16.90","17.32","12.07","","-20.23%"
"06/01/2013","16.86","16.40","21.91","14.96","","3.44%"
"05/01/2013","16.30","13.88","16.35","12.26","","20.56%"
"04/01/2013","13.52","13.46","18.20","11.99","","6.46%"
"03/01/2013","12.70","16.10","16.82","11.05","","-18.12%"
"02/01/2013","15.51","13.37","19.28","12.08","","8.61%"
"01/01/2013","14.28","15.24","15.93","12.29","","-20.75%"
"12/01/2012","18.02","15.81","23.23","15.41","","13.55%"
"11/01/2012","15.87","17.77","19.40","14.77","","-14.68%"
"10/01/2012","18.60","16.03","19.65","13.67","","18.25%"
"09/01/2012","15.73","18.65","18.96","13.51","","-9.96%"
"08/01/2012","17.47","18.80","19.25","13.30","","-7.71%"
"07/01/2012","18.93","17.62","21.00","15.45","","10.83%"
"06/01/2012","17.08","25.87","27.73","16.77","","-29.01%"
"05/01/2012","24.06","17.27","25.46","16.01","","40.29%"
"04/01/2012","17.15","16.35","21.06","15.02","","10.65%"
"03/01/2012","15.50","18.02","21.24","13.66","","-15.90%"
"02/01/2012","18.43","18.68","21.98","16.10","","-5.20%"
"01/01/2012","19.44","22.95","23.73","16.80","","-16.92%"
"12/01/2011","23.40","27.63","30.91","20.34","","-15.83%"
"11/01/2011","27.80","36.03","37.53","27.03","","-7.21%"
"10/01/2011","29.96","44.25","46.88","24.44","","-30.26%"
"09/01/2011","42.96","31.91","43.87","30.43","","35.86%"
"08/01/2011","31.62","22.63","48.00","22.46","","25.23%"
"07/01/2011","25.25","16.06","25.94","15.12","","52.85%"
"06/01/2011","16.52","15.95","24.65","15.88","","6.93%"
"05/01/2011","15.45","15.07","20.03","15.07","","4.75%"
"04/01/2011","14.75","16.68","19.07","14.27","","-16.85%"
"03/01/2011","17.74","17.63","31.28","17.07","","-3.32%"
"02/01/2011","18.35","18.59","23.22","14.86","","-6.04%"
"01/01/2011","19.53","17.94","20.08","15.37","","10.03%"
"12/01/2010","17.75","21.19","21.43","15.40","","-24.60%"
"11/01/2010","23.54","21.65","23.84","17.76","","11.04%"
"10/01/2010","21.20","22.90","24.34","17.90","","-10.55%"
"09/01/2010","23.70","25.13","25.13","20.85","","-9.02%"
"08/01/2010","26.05","23.07","28.92","21.36","","10.85%"
"07/01/2010","23.50","34.41","37.58","21.86","","-31.96%"
"06/01/2010","34.54","34.87","37.38","22.87","","7.70%"
"05/01/2010","32.07","22.41","48.20","19.61","","45.44%"
"04/01/2010","22.05","17.01","23.20","15.23","","25.36%"
"03/01/2010","17.59","19.93","19.94","16.17","","-9.79%"
"02/01/2010","19.50","24.33","29.22","19.32","","-20.80%"
"01/01/2010","24.62","21.68","28.01","16.86","","13.56%"
"12/01/2009","21.68","24.51","24.51","19.25","","-11.55%"
"11/01/2009","24.51","30.70","31.84","20.05","","-20.14%"
"10/01/2009","30.69","25.98","31.59","20.10","","19.84%"
"09/01/2009","25.61","26.01","29.57","22.19","","-1.54%"
"08/01/2009","26.01","25.92","28.39","23.68","","0.35%"
"07/01/2009","25.92","25.73","33.05","23.00","","-1.63%"
"06/01/2009","26.35","28.70","32.77","25.02","","-8.89%"
"05/01/2009","28.92","36.50","36.88","26.57","","-20.77%"
"04/01/2009","36.50","45.42","45.60","33.68","","-17.31%"
"03/01/2009","44.14","49.96","53.25","38.79","","-4.77%"
"02/01/2009","46.35","49.42","53.16","40.73","","3.37%"
"01/01/2009","44.84","39.58","57.36","36.88","","12.10%"
"12/01/2008","40.00","60.47","68.60","37.96","","-27.64%"
"11/01/2008","55.28","60.17","81.48","44.25","","-7.70%"
"10/01/2008","59.89","39.39","89.53","39.39","","52.04%"
"09/01/2008","39.39","20.65","48.40","20.47","","90.75%"
"08/01/2008","20.65","22.66","23.86","18.64","","-9.98%"
"07/01/2008","22.94","25.14","30.81","20.73","","-4.22%"
"06/01/2008","23.95","17.83","24.56","17.83","","34.32%"
"05/01/2008","17.83","20.78","20.95","15.82","","-14.24%"
"04/01/2008","20.79","25.61","25.61","19.21","","-18.82%"
"03/01/2008","25.61","27.54","35.60","23.30","","-3.50%"
"02/01/2008","26.54","25.66","29.70","21.64","","1.30%"
"01/01/2008","26.20","22.58","37.57","22.11","","16.44%"
"12/01/2007","22.50","23.59","24.86","18.28","","-1.62%"
"11/01/2007","22.87","19.89","31.09","17.38","","23.42%"
"10/01/2007","18.53","18.44","24.15","16.08","","2.94%"
"09/01/2007","18.00","21.93","28.82","16.91","","-23.01%"
"08/01/2007","23.38","23.71","37.50","19.33","","-0.60%"
"07/01/2007","23.52","16.48","24.17","14.67","","44.92%"
"06/01/2007","16.23","12.77","18.98","12.43","","24.37%"
"05/01/2007","13.05","14.10","14.60","12.08","","-8.23%"
"04/01/2007","14.22","14.91","15.46","11.46","","-2.87%"
"03/01/2007","14.64","17.76","21.25","11.21","","-5.06%"
"02/01/2007","15.42","10.32","19.01","9.70","","47.98%"
"01/01/2007","10.42","12.16","12.83","9.87","","-9.86%"
"12/01/2006","11.56","11.07","12.68","9.39","","5.96%"
"11/01/2006","10.91","10.93","12.55","9.81","","-1.71%"
"10/01/2006","11.10","12.45","12.91","10.44","","-7.35%"
"09/01/2006","11.98","12.14","14.49","10.74","","-2.68%"
"08/01/2006","12.31","15.49","16.15","11.57","","-17.66%"
"07/01/2006","14.95","13.29","19.58","12.77","","14.30%"
"06/01/2006","13.08","16.47","23.81","12.74","","-20.44%"
"05/01/2006","16.44","11.83","19.87","11.18","","41.85%"
"04/01/2006","11.59","11.47","13.09","11.02","","1.76%"
"03/01/2006","11.39","12.05","13.34","10.53","","-7.70%"
"02/01/2006","12.34","13.03","13.73","11.13","","-4.71%"
"01/01/2006","12.95","12.25","14.56","10.81","","7.29%"
"12/01/2005","12.07","12.09","12.44","10.15","","0.08%"
"11/01/2005","12.06","14.85","15.66","10.50","","-21.28%"
"10/01/2005","15.32","12.37","17.19","11.98","","28.52%"
"09/01/2005","11.92","12.86","14.39","11.07","","-5.40%"
"08/01/2005","12.60","11.75","14.41","11.36","","8.90%"
"07/01/2005","11.57","11.75","13.92","9.88","","-3.90%"
"06/01/2005","12.04","13.34","13.34","10.78","","-9.41%"
"05/01/2005","13.29","15.45","17.70","11.65","","-13.19%"
"04/01/2005","15.31","13.64","18.59","11.20","","9.20%"
"03/01/2005","14.02","11.95","14.89","11.66","","16.06%"
"02/01/2005","12.08","12.80","13.20","10.90","","-5.77%"
"01/01/2005","12.82","13.39","14.75","12.29","","-3.54%"
"12/01/2004","13.29","13.10","13.74","11.14","","0.38%"
"11/01/2004","13.24","16.43","16.76","12.56","","-18.62%"
"10/01/2004","16.27","13.11","16.87","12.60","","21.96%"
"09/01/2004","13.34","15.39","15.98","13.16","","-12.75%"
"08/01/2004","15.29","16.42","19.97","14.67","","-0.20%"
"07/01/2004","15.32","14.74","17.93","13.34","","6.83%"
"06/01/2004","14.34","16.60","17.04","13.75","","-7.48%"
"05/01/2004","15.50","17.69","20.45","15.19","","-9.83%"
"04/01/2004","17.19","16.76","17.98","13.86","","2.69%"
"03/01/2004","16.74","14.91","22.67","13.83","","15.05%"
"02/01/2004","14.55","17.45","18.06","13.80","","-12.51%"
"01/01/2004","16.63","17.96","18.68","14.01","","-9.18%"
"12/01/2003","18.31","16.74","18.86","14.66","","12.19%"
"11/01/2003","16.32","16.33","19.61","16.02","","1.37%"
"10/01/2003","16.10","22.81","22.82","15.79","","-29.14%"
"09/01/2003","22.72","19.31","23.26","17.52","","21.95%"
"08/01/2003","18.63","20.06","23.89","17.64","","-4.41%"
"07/01/2003","19.49","20.49","20.80","17.65","","-0.15%"
"06/01/2003","19.52","20.35","22.81","18.87","","0.26%"
"05/01/2003","19.47","21.35","22.33","18.24","","-8.20%"
"04/01/2003","21.21","29.58","30.04","20.26","","-27.24%"
"03/01/2003","29.15","29.78","34.40","27.58","","-1.62%"
"02/01/2003","29.63","32.45","35.66","29.06","","-4.94%"
"01/01/2003","31.17","28.74","35.33","24.02","","8.91%"
"12/01/2002","28.62","28.35","31.20","25.87","","4.07%"
"11/01/2002","27.50","31.57","32.60","23.05","","-11.69%"
"10/01/2002","31.14","37.25","43.44","29.69","","-21.54%"
"09/01/2002","39.69","37.12","41.86","33.72","","21.60%"
"08/01/2002","32.64","32.77","45.21","27.61","","1.90%"
"07/01/2002","32.03","25.71","48.46","25.63","","26.10%"
"06/01/2002","25.40","20.98","30.98","20.62","","27.13%"
"05/01/2002","19.98","21.44","22.71","17.70","","-8.81%"
"04/01/2002","21.91","18.99","24.50","17.73","","25.92%"
"03/01/2002","17.40","21.06","21.12","17.02","","-19.41%"
"02/01/2002","21.59","21.12","27.32","20.55","","2.37%"
"01/01/2002","21.09","23.78","26.88","20.40","","-11.39%"
"12/01/2001","23.80","25.92","26.38","21.12","","-0.17%"
